"","repayment","account","time","behavior","usage","amount","savings","employment","rate","famgen","guaran","residence","finance","age","furthcred","home","prevcred","job","pers","phone","gastarb","dtime","damount","dage","simple.score"
"30",1,3,42,4,1,4796,1,5,4,3,1,4,4,56,3,3,1,3,1,1,2,4,6,3,57
"31",1,3,30,4,3,3017,1,5,4,3,1,4,2,47,3,2,1,3,1,1,2,6,6,3,58
"32",1,4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,1,2,2,5,6,2,56
"33",1,4,36,4,0,6614,1,5,4,3,1,4,3,34,3,2,2,4,1,2,2,5,5,2,57
"34",1,4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,1,1,2,7,8,2,57
"35",1,1,15,2,0,1721,1,2,2,3,1,3,1,36,3,2,1,3,1,1,2,8,7,2,46
"36",1,1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,1,2,2,10,9,2,59
"37",1,4,12,4,0,1495,1,5,4,3,1,1,1,38,3,2,2,2,2,1,2,9,8,2,57
"38",1,4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,1,1,2,9,7,2,61
"39",1,4,18,2,1,3378,5,3,2,3,1,1,2,31,3,2,1,3,1,2,2,8,6,2,54
"40",1,4,24,4,1,3868,1,5,4,2,1,2,3,41,3,1,2,4,1,2,2,7,6,3,58
"41",1,4,12,4,5,996,5,4,4,2,1,4,1,23,3,2,2,3,1,1,2,9,9,1,67
"42",1,1,24,2,10,1755,1,5,4,2,3,4,1,58,3,2,1,2,1,2,2,7,7,3,63
"43",1,4,18,4,0,1028,1,3,4,2,1,3,1,36,3,2,2,3,1,1,2,8,8,2,55
"44",1,2,24,4,9,2825,5,4,4,3,1,3,4,34,3,2,2,3,2,2,2,7,6,2,70
"45",1,2,18,2,6,1239,5,3,4,3,1,4,4,61,3,3,1,3,1,1,2,8,8,5,69
"46",0,1,18,2,0,1216,1,2,4,2,1,3,3,23,3,1,1,3,1,2,2,8,8,1,49
"47",1,4,24,2,9,1258,1,4,4,3,1,1,1,25,3,2,1,3,1,2,2,7,8,1,60
"48",0,4,18,4,6,1864,2,3,4,2,1,2,1,30,3,2,2,3,1,1,2,8,7,2,60
"49",1,4,24,2,0,1474,2,2,4,4,1,3,1,33,3,2,1,3,1,2,2,7,8,2,54
"50",1,1,24,4,9,1382,2,4,4,3,1,1,1,26,3,2,2,3,1,2,2,7,8,2,62
"51",1,4,12,2,0,640,1,3,4,1,1,2,1,49,3,2,1,2,1,1,2,9,9,3,52
"52",1,3,36,2,3,3919,1,3,2,3,1,2,1,23,3,2,1,3,1,2,2,5,6,1,47
"53",1,4,9,4,0,1224,1,3,3,3,1,1,1,30,3,2,2,3,1,1,2,9,8,2,54
"54",1,4,12,4,3,2331,5,5,1,3,2,4,1,49,3,2,1,3,1,2,2,9,7,3,65
"55",1,4,24,2,1,6313,5,5,3,3,1,4,3,41,3,2,1,4,2,2,2,7,5,3,62
"56",1,1,12,4,3,385,1,4,4,2,1,3,1,58,3,2,4,2,1,2,2,9,10,3,62
"57",1,4,12,4,3,1655,1,5,2,3,1,4,1,63,3,2,2,2,1,2,2,9,7,5,63
"58",1,1,15,2,3,1053,1,2,4,4,1,2,1,27,3,2,1,3,1,1,1,8,8,2,51
"59",1,4,21,2,3,3160,5,5,4,3,1,3,2,41,3,2,1,3,1,2,2,7,6,3,62
"60",1,4,36,2,0,3079,5,3,4,3,1,4,1,36,3,2,1,3,1,1,2,5,6,2,53
"61",1,4,12,4,0,1163,3,3,4,3,1,4,1,44,3,2,1,3,1,2,2,9,8,3,61
"62",1,4,24,2,1,2679,1,2,4,2,1,1,4,29,3,2,1,4,1,2,2,7,6,2,52
"63",1,4,48,4,3,3578,5,5,4,3,1,1,1,47,3,2,1,3,1,2,2,3,6,3,57
"64",1,4,36,3,0,10875,1,5,2,3,1,2,3,45,3,2,2,3,2,2,2,5,3,3,51
"65",1,1,12,3,0,1344,1,3,4,3,1,2,1,43,3,2,2,2,2,1,2,9,8,3,53
"66",1,4,6,4,3,1237,2,3,1,2,1,1,2,27,3,2,2,3,1,1,2,10,8,2,57
"67",1,4,12,2,3,3077,1,3,2,3,1,4,3,52,3,2,1,3,1,2,2,9,6,3,58
"68",1,4,24,2,3,2284,1,4,4,3,1,2,3,28,3,2,1,3,1,2,2,7,7,2,57
"69",1,2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,1,2,2,9,7,1,50
"70",1,4,24,3,0,2032,1,5,4,3,1,4,4,60,3,3,2,3,1,2,2,7,7,5,64
"71",1,2,21,4,2,2745,4,4,3,3,1,2,3,32,3,2,2,3,1,2,2,7,6,2,58
"72",1,4,30,2,3,1867,5,5,4,3,1,4,3,58,3,2,1,3,1,2,2,6,7,3,64
"73",1,4,36,2,3,2299,3,5,4,3,1,4,3,39,3,2,1,3,1,1,2,5,7,2,59
"74",1,4,24,2,2,929,5,4,4,3,1,2,3,31,2,2,1,3,1,2,2,7,9,2,61
"75",1,3,12,2,3,3399,5,5,2,3,1,3,3,37,3,2,1,4,1,1,2,9,6,2,61
"76",1,2,9,2,2,2030,5,4,2,3,1,1,3,24,3,2,1,3,1,2,2,9,7,1,56
"77",1,4,21,4,1,3275,1,5,1,3,1,4,3,36,3,2,1,4,1,2,2,7,6,2,57
"78",1,4,24,4,0,1940,4,5,4,3,1,4,1,60,3,2,1,3,1,2,2,7,7,5,63
"79",1,1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,3,1,2,2,7,7,2,57
"80",1,4,15,2,3,1979,5,5,4,3,1,2,3,35,3,2,1,3,1,1,2,8,7,2,62
"81",1,4,24,4,0,2022,1,3,4,2,1,4,3,37,3,2,1,3,1,2,2,7,7,2,56
"82",1,4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,1,2,2,5,6,3,62
"83",1,2,18,2,0,5866,2,3,2,3,1,2,3,30,3,2,2,3,1,2,2,8,5,2,50
"84",1,3,15,4,1,2360,3,3,2,3,1,2,3,36,3,2,1,3,1,2,2,8,7,2,56
"85",1,4,15,4,2,1520,5,5,4,3,1,4,2,63,3,2,1,3,1,1,2,8,7,5,67
"86",1,1,12,2,0,3651,4,3,1,3,1,3,2,31,3,2,1,3,2,1,2,9,6,2,51
"87",1,4,24,4,1,2346,1,4,4,3,1,3,3,35,3,2,2,3,1,2,2,7,7,2,59
"88",1,4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,1,1,2,5,6,2,53
"89",1,1,6,4,0,666,4,4,3,2,1,4,1,39,3,2,2,2,1,2,2,10,9,2,59
"90",1,2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,1,2,2,7,7,3,58
"91",1,2,12,4,0,1995,2,2,4,3,1,1,3,27,3,2,1,3,1,1,2,9,7,2,53
"92",1,2,30,2,3,2991,5,5,2,2,1,4,3,25,3,2,1,3,1,1,2,6,6,1,55
"93",1,2,30,0,9,4221,1,3,2,2,1,1,3,28,3,2,2,3,1,1,2,6,6,2,52
"94",1,1,9,2,3,1364,1,4,3,3,1,4,1,59,3,2,1,3,1,1,2,9,8,3,56
"95",1,2,18,4,2,6361,1,5,2,3,1,1,4,41,3,2,1,3,1,2,2,8,5,3,55
"96",1,4,27,4,2,4526,4,2,4,3,1,2,1,32,2,2,2,2,2,2,2,6,6,2,55
"97",1,2,12,4,3,3573,1,3,1,2,1,1,1,23,3,2,1,2,1,1,2,9,6,1,47
"98",0,2,36,3,9,4455,1,3,2,1,1,2,1,30,2,2,2,4,1,2,2,5,6,2,53
"99",1,1,9,2,2,2136,1,3,3,3,1,2,1,25,3,2,1,3,1,1,2,9,7,1,49
"100",1,2,42,4,9,5954,1,4,2,2,1,1,1,41,1,2,2,2,1,1,2,4,5,3,50
"101",1,4,24,4,2,3777,4,3,4,3,1,4,1,40,3,2,1,3,1,2,2,7,6,3,60
"102",1,1,15,2,9,806,1,3,4,2,1,4,2,22,3,2,1,2,1,1,2,8,9,1,59
"103",1,2,24,3,9,4712,5,3,4,3,1,2,2,34,1,2,2,4,1,2,2,7,6,2,63
"104",1,2,36,3,0,7432,1,3,2,2,1,2,2,54,3,1,1,3,1,1,2,5,5,3,43
"105",1,4,24,4,3,1851,1,4,4,4,3,2,3,33,3,2,2,3,1,2,2,7,7,2,63
"106",1,4,24,2,0,1393,1,3,2,3,3,2,1,31,3,2,1,3,1,2,2,7,8,2,52
"107",1,4,12,4,9,1412,1,3,4,2,3,2,1,29,3,2,2,4,1,2,2,9,8,2,68
"108",1,4,18,2,3,1473,1,2,3,4,1,4,1,39,3,2,1,3,1,2,2,8,8,2,57
"109",1,4,24,2,3,1533,1,2,4,2,1,3,3,38,2,2,1,3,1,2,2,7,7,2,54
"110",1,4,12,4,6,2012,5,4,4,2,1,2,3,61,3,2,1,3,1,1,2,9,7,5,69
"111",0,1,15,2,0,3959,1,3,3,2,1,2,2,29,3,2,1,3,1,2,2,8,6,2,47
"112",1,1,6,2,2,428,1,5,2,2,1,1,2,49,1,2,1,3,1,2,2,10,10,3,54
"113",1,2,12,4,0,2366,3,4,3,1,1,3,3,36,3,2,1,4,1,2,2,9,7,2,57
"114",1,4,12,2,2,763,1,3,4,2,1,1,1,26,3,2,1,3,1,2,2,9,9,2,55
"115",1,2,21,2,2,3976,5,4,2,3,1,3,3,35,3,2,1,3,1,2,2,7,6,2,56
"116",1,2,18,2,0,6260,1,4,3,3,1,3,1,28,3,1,1,2,1,1,2,8,5,2,46
"117",1,2,9,4,2,1919,1,4,4,3,1,3,3,35,3,1,1,3,1,2,2,9,7,2,58
"118",1,4,24,2,1,2603,4,3,2,2,1,4,3,28,3,1,1,3,1,2,2,7,6,2,54
"119",1,4,9,4,6,936,3,5,4,3,1,2,3,52,3,2,2,3,1,2,2,9,9,3,71
"120",1,4,24,2,2,3062,3,5,4,3,1,3,4,32,3,1,1,3,1,2,2,7,6,2,59
"121",1,2,36,2,3,4795,1,2,4,2,1,1,4,30,3,2,1,4,1,2,2,5,6,2,50
"122",1,4,36,4,1,5842,1,5,2,3,1,2,2,35,3,2,2,3,2,2,2,5,5,2,53
"123",1,2,6,2,3,2063,1,2,4,4,1,3,3,30,3,1,1,4,1,2,2,10,7,2,58
"124",1,4,15,4,3,1459,1,3,4,2,1,2,3,43,3,2,1,2,1,1,2,8,8,3,58
"125",1,4,15,2,3,1213,3,5,4,3,1,3,2,47,2,2,1,3,1,2,2,8,8,3,62
"126",1,4,24,4,3,5103,1,2,3,4,1,3,4,47,3,3,3,3,1,2,2,7,5,3,61
"127",1,4,15,2,4,874,5,2,4,2,1,1,1,24,3,2,1,3,1,1,2,8,9,1,57
"128",1,4,6,2,2,2978,3,3,1,3,1,2,3,32,3,2,1,3,1,2,2,10,6,2,56
"129",1,4,18,2,0,1820,1,3,2,4,1,2,2,30,3,2,1,4,1,2,2,8,7,2,53
"130",1,4,24,4,3,2872,2,5,3,3,1,4,1,36,3,2,1,3,2,2,2,7,6,2,60
"131",1,3,24,2,2,1925,1,3,2,3,1,2,1,26,3,2,1,3,1,1,2,7,7,2,49
"132",1,4,18,2,2,2515,1,3,3,3,1,4,1,43,3,2,1,3,1,2,2,8,6,3,55
"133",1,3,6,2,2,2116,1,3,2,3,1,2,1,41,3,2,1,3,1,2,2,10,7,3,54
"134",1,4,18,2,3,1453,1,2,3,2,1,1,1,26,3,2,1,3,1,1,2,8,8,2,51
"135",1,4,10,2,0,1364,1,3,2,2,1,4,3,64,3,2,1,3,1,2,2,9,8,5,58
"136",1,4,6,2,2,1543,4,3,4,1,1,2,1,33,3,2,1,3,1,1,2,10,7,2,56
"137",1,2,12,2,0,1318,4,5,4,3,1,4,1,54,3,2,1,3,1,2,2,9,8,3,60
"138",1,1,24,1,0,2325,2,4,2,3,1,3,3,32,1,2,1,3,1,1,2,7,7,2,47
"139",1,2,6,4,8,932,5,4,1,2,1,3,2,39,3,2,2,2,1,1,2,10,9,2,66
"140",1,3,24,4,3,3148,5,3,3,3,1,2,3,31,3,2,2,3,1,2,2,7,6,2,60
"141",1,4,36,2,3,3835,5,5,2,2,1,4,1,45,3,2,1,2,1,2,2,5,6,3,56
"142",1,4,9,2,6,3832,5,5,1,3,1,4,1,64,3,2,1,2,1,1,2,9,6,5,64
"143",1,2,24,2,3,5084,5,5,2,2,1,4,3,42,3,2,1,3,1,2,2,7,5,3,58
"144",1,4,9,4,2,2406,1,1,2,3,1,3,3,31,3,2,1,4,1,1,2,9,7,2,56
"145",1,4,36,2,3,2394,5,3,4,2,1,4,3,25,3,2,1,3,1,1,2,5,7,1,57
"146",1,4,21,2,1,2476,5,5,4,3,1,4,1,46,3,2,1,4,1,2,2,7,7,3,62
"147",1,1,24,2,1,2964,5,5,4,3,1,4,4,49,1,3,1,3,2,2,2,7,6,3,60
"148",1,1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,1,2,2,9,8,3,58
"149",1,4,12,2,9,1542,1,4,2,3,1,4,3,36,3,2,1,3,1,2,2,9,7,2,65
"150",1,2,24,4,3,1743,1,5,4,3,1,2,2,48,3,2,2,2,1,1,2,7,7,3,57
"151",1,3,12,1,3,409,4,3,3,2,1,3,1,42,3,1,2,3,1,1,2,9,10,3,59
"152",1,4,12,2,3,2171,1,2,2,2,1,2,3,29,1,2,1,3,1,1,2,9,7,2,51
"153",1,4,48,4,1,8858,5,4,2,3,1,1,4,35,3,3,2,3,1,2,2,3,4,2,54
"154",1,2,24,2,0,3512,2,4,2,3,1,3,3,38,1,2,2,3,1,2,2,7,6,2,50
"155",1,2,12,2,3,1158,3,3,3,1,1,1,3,26,3,2,1,3,1,2,2,9,8,2,55
"156",1,4,24,4,3,2684,1,3,4,3,1,2,1,35,3,2,2,2,1,1,2,7,6,2,54
"157",1,1,12,2,3,1498,1,3,4,2,1,1,3,23,1,2,1,3,1,1,2,9,8,1,50
"158",1,4,30,4,3,5954,1,4,3,3,2,2,3,38,3,2,1,3,1,1,2,6,5,2,55
"159",0,2,48,1,9,6416,1,5,4,2,1,3,4,59,3,1,1,3,1,1,2,3,5,3,55
"160",1,2,12,4,2,3617,1,5,1,3,1,4,3,28,3,1,3,3,1,2,2,9,6,2,58
"161",1,4,12,4,3,1291,1,3,4,2,1,2,2,35,3,2,2,3,1,1,2,9,8,2,59
"162",1,3,24,4,9,1275,4,3,2,1,1,4,1,36,3,2,2,3,1,2,2,7,8,2,64
"163",1,4,24,2,2,3972,1,4,2,2,1,4,2,25,3,1,1,3,1,2,2,7,6,1,51
"164",1,4,15,4,2,3343,1,3,4,3,1,2,4,28,3,3,1,3,1,2,2,8,6,2,59
"165",1,3,15,2,6,392,1,2,4,2,1,4,2,23,3,1,1,3,1,2,2,8,10,1,59
"166",1,4,9,4,0,2134,1,3,4,3,1,4,3,48,3,2,3,3,1,2,2,9,7,3,62
"167",1,4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,1,1,2,6,5,1,54
"168",1,4,24,4,9,4526,1,3,3,3,1,2,1,74,3,2,1,4,1,2,2,7,6,4,63
"169",1,4,15,4,2,2788,1,4,2,2,2,3,3,24,1,2,2,3,1,1,2,8,6,1,54
"170",1,4,6,4,3,1382,1,3,1,2,1,1,3,28,3,2,2,3,1,2,2,10,8,2,58
"171",1,3,36,2,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,1,1,2,5,5,1,48
"172",0,1,12,2,0,1228,1,3,4,2,1,2,1,24,3,2,1,2,1,1,2,9,8,1,47
"173",1,3,12,2,3,1297,1,3,3,4,1,4,1,23,3,1,1,3,1,1,2,9,8,1,55
"174",1,4,24,2,3,1552,1,4,3,3,1,1,3,32,1,2,1,3,2,1,2,7,7,2,53
"175",1,4,12,2,3,1963,1,4,4,3,1,2,3,31,3,1,2,4,2,2,2,9,7,2,61
"176",1,4,24,2,3,3235,3,5,3,1,1,2,3,36,3,2,1,4,1,2,2,7,6,2,57
"177",1,4,24,4,9,4139,2,3,3,3,1,3,2,27,3,2,2,2,1,2,2,7,6,2,63
"178",1,2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,1,1,2,9,7,3,56
"179",1,4,18,2,9,1950,1,4,4,3,1,1,3,34,2,2,2,3,1,2,2,8,7,2,63
"180",1,4,48,3,3,12749,3,4,4,3,1,1,3,37,3,2,1,4,1,2,2,3,3,2,52
"181",1,4,9,2,4,1236,1,2,1,2,1,4,1,23,3,1,1,3,1,2,2,9,8,1,53
"182",1,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,1,1,2,8,8,2,53
"183",1,1,30,0,9,8072,5,2,2,3,1,3,3,25,1,2,3,3,1,1,2,6,4,1,53
"184",1,4,30,4,3,2831,1,3,4,2,1,2,3,33,3,2,1,3,1,2,2,6,6,2,55
"185",1,4,9,2,9,1449,1,4,3,2,1,2,3,27,3,2,2,3,1,1,2,9,8,2,64
"186",1,4,36,2,9,5742,2,4,2,3,1,2,3,31,3,2,2,3,1,2,2,5,5,2,59
"187",1,4,12,2,0,2390,5,5,4,3,1,3,3,50,3,2,1,3,1,2,2,9,7,3,63
"188",1,4,24,2,3,3430,3,5,3,3,1,2,3,31,3,2,1,3,2,2,2,7,6,2,59
"189",1,2,36,2,6,2273,1,4,3,3,1,1,3,32,3,2,2,3,2,1,2,5,7,2,55
"190",1,3,21,2,0,2923,2,3,1,2,1,1,3,28,1,2,1,4,1,2,2,7,6,2,46
"191",1,4,24,2,3,1901,2,3,4,3,1,4,3,29,3,1,1,4,1,2,2,7,7,2,59
"192",1,2,36,2,6,3711,5,3,2,4,1,2,3,27,3,2,1,3,1,1,2,5,6,2,56
"193",1,2,48,2,0,8487,5,4,1,2,1,2,3,24,3,2,1,3,1,1,2,3,4,1,43
"194",1,4,24,2,0,2255,5,2,4,3,1,1,2,54,3,2,1,3,1,1,2,7,7,3,54
"195",1,4,12,2,3,1262,1,3,3,3,1,2,3,25,3,2,1,3,1,1,2,9,8,1,56
"196",1,4,33,4,1,7253,1,4,3,3,1,2,3,35,3,2,2,4,1,2,2,5,5,2,54
"197",1,4,6,4,0,6761,1,4,1,3,1,3,4,45,3,2,2,4,2,2,2,10,5,3,60
"198",1,4,18,4,2,1817,1,3,4,2,1,2,4,28,3,2,2,3,1,1,2,8,7,2,58
"199",1,4,12,2,3,2141,2,4,3,3,1,1,4,35,3,2,1,3,1,1,2,9,7,2,58
"200",1,4,48,1,9,3609,1,3,1,2,1,1,1,27,2,2,1,3,1,1,2,3,6,2,47
"201",1,4,30,2,3,2333,3,5,4,3,1,2,3,30,1,2,1,4,1,1,2,6,7,2,57
"202",1,4,28,1,1,7824,5,2,3,3,3,4,1,40,1,1,2,3,2,2,2,6,4,3,53
"203",1,3,18,1,3,1445,5,4,4,3,1,4,3,49,1,2,1,2,1,1,2,8,8,3,60
"204",1,1,24,2,2,7721,5,2,1,2,1,2,2,30,3,2,1,3,1,2,1,7,4,2,46
"205",1,1,21,2,0,3763,5,4,2,3,2,2,1,24,3,2,1,2,1,1,1,7,6,1,47
"206",1,2,18,2,9,4439,1,5,1,3,2,1,1,33,1,2,1,4,1,2,2,8,6,2,56
"207",1,1,12,2,3,1107,1,3,2,3,1,2,1,20,3,1,1,4,2,2,2,9,8,1,52
"208",1,2,15,2,3,1444,5,2,4,3,1,1,2,23,3,2,1,3,1,1,2,8,8,1,55
"209",1,2,48,1,0,12169,5,1,4,3,2,4,4,36,3,3,1,4,1,2,2,3,3,2,50
"210",1,4,9,2,3,2753,2,5,3,3,2,4,3,35,3,2,1,3,1,2,2,9,6,2,62
"211",1,3,4,2,0,1494,5,2,1,3,1,2,1,29,3,2,1,2,2,1,1,10,8,2,52
"212",1,1,24,1,2,2828,3,3,4,3,1,4,1,22,2,2,1,3,1,2,2,7,6,1,50
"213",1,1,24,1,2,2483,3,3,4,3,1,4,1,22,2,2,1,3,1,2,2,7,7,1,51
"214",1,3,6,4,0,1299,1,3,1,3,1,1,1,74,3,2,3,1,2,1,1,10,8,4,53
"215",1,2,9,2,0,1549,5,2,4,3,1,2,1,35,3,2,1,1,1,1,2,9,7,2,51
"216",1,3,10,2,0,3949,1,2,1,3,3,1,2,37,3,2,1,2,2,1,2,9,6,2,48
"217",1,4,10,2,1,2901,5,2,1,2,1,4,1,31,3,1,1,3,1,1,2,9,6,2,52
"218",1,3,6,2,0,709,4,2,2,4,1,2,1,27,3,2,1,1,1,1,1,10,9,2,52
"219",1,1,47,2,0,10722,1,2,1,2,1,1,1,35,3,2,1,2,1,2,2,3,3,2,33
"220",1,4,10,2,0,1287,5,5,4,3,2,2,2,45,3,2,1,2,1,1,1,9,8,3,60
"221",1,1,18,1,3,1940,1,2,3,3,2,4,4,36,1,3,1,4,1,2,2,8,7,2,55
"222",1,3,30,4,3,3656,5,5,4,3,1,4,2,49,2,2,2,2,1,1,2,6,6,3,61
"223",1,4,24,3,1,4679,1,4,3,3,1,3,3,35,3,2,2,2,1,2,2,7,6,2,55
"224",1,4,27,3,1,8613,4,3,2,3,1,2,3,27,3,2,2,3,1,1,2,6,4,2,52
"225",1,1,18,2,2,2659,4,3,4,3,1,2,3,28,3,2,1,3,1,1,2,8,6,2,54
"226",1,4,24,4,3,1516,4,3,4,2,1,1,1,43,3,2,2,2,1,1,2,7,7,3,57
"227",1,1,18,2,0,4380,2,3,3,3,1,4,3,35,3,2,1,2,2,2,2,8,6,2,52
"228",1,4,14,3,0,802,1,3,4,3,1,2,3,27,3,2,2,2,1,1,2,8,9,2,56
"229",1,4,21,2,9,1572,4,5,4,2,1,4,1,36,1,2,1,2,1,1,2,7,7,2,62
"230",1,2,48,1,9,3566,2,4,4,3,1,2,3,30,3,2,1,3,1,1,2,3,6,2,55
"231",1,4,24,2,3,1278,1,5,4,3,1,1,1,36,3,2,1,4,1,2,2,7,8,2,57
"232",1,4,6,0,3,426,1,5,4,4,1,4,3,39,3,2,1,2,1,1,2,10,10,2,63
"233",1,4,39,2,1,8588,2,5,4,3,1,2,3,45,3,2,1,4,1,2,2,4,4,3,53
"234",1,1,30,2,1,3857,1,3,4,1,1,4,2,40,3,2,1,4,1,2,2,6,6,3,50
"235",0,2,12,2,0,685,1,4,2,4,1,3,3,25,1,2,1,2,1,1,2,9,9,1,51
"236",1,1,24,2,3,1603,1,5,4,2,1,4,3,55,3,2,1,3,1,1,2,7,7,3,56
"237",1,4,21,2,2,2241,1,5,4,3,1,2,1,50,3,2,2,3,1,1,2,7,7,3,56
"238",1,1,24,2,3,2384,1,5,4,3,1,4,1,64,1,1,1,2,1,1,2,7,7,5,53
"239",1,4,4,2,2,601,1,2,1,2,1,3,1,23,3,1,1,2,2,1,2,10,9,1,51
"240",1,4,39,2,1,2569,3,3,4,3,1,4,3,24,3,2,1,3,1,1,2,4,6,1,52
"241",1,4,15,4,3,1316,3,3,2,4,1,2,2,47,3,2,2,2,1,1,2,8,8,3,60
"242",1,4,60,2,0,10366,1,5,2,3,1,4,2,42,3,2,1,4,1,2,2,1,3,3,46
"243",1,4,18,2,9,1568,2,3,3,2,1,4,2,24,3,1,1,2,1,1,2,8,7,1,59
"244",1,4,18,4,3,629,3,5,4,3,1,3,2,32,1,2,2,4,1,2,2,8,9,2,65
"245",1,4,6,1,3,1750,3,5,2,3,1,4,2,45,1,2,1,2,2,1,2,10,7,3,59
"246",1,4,24,2,1,3488,2,4,3,2,1,4,3,23,3,2,1,3,1,1,2,7,6,1,53
"247",1,4,18,4,3,1800,1,3,4,3,1,2,3,24,3,2,2,3,1,1,2,8,7,1,58
"248",1,4,24,3,2,4151,2,3,2,3,1,3,2,35,3,2,2,3,1,1,2,7,6,2,54
"249",1,2,15,2,5,2631,2,3,3,2,1,2,1,25,3,2,1,2,1,1,2,8,6,1,50
"250",1,4,21,2,1,5248,5,3,1,3,1,3,3,26,3,2,1,3,1,1,2,7,5,2,53
"251",1,2,18,3,0,2899,5,5,4,3,1,4,3,43,3,2,1,3,2,1,2,8,6,3,61
"252",1,2,18,3,5,6204,1,3,2,3,1,4,1,44,3,2,1,2,2,2,2,8,5,3,55
"253",1,4,12,2,3,804,1,5,4,3,1,4,3,38,3,2,1,3,1,1,2,9,9,2,63
"254",1,4,36,2,3,3595,1,5,4,3,1,2,3,28,3,2,1,3,1,1,2,5,6,2,54
"255",1,4,36,4,1,5711,4,5,4,3,1,2,3,38,3,2,2,4,1,2,2,5,5,2,59
"256",1,3,15,2,9,2687,1,4,2,3,1,4,2,26,3,1,1,3,1,2,2,8,6,2,60
